S000000918	SLX8	YER116C
S000000919	RPL23B	YER117W
S000000920	SHO1	YER118C
S000000921	AVT6	YER119C
S000000922	SCS2	YER120W
S000000923		YER121W
S000000924	GLO3	YER122C
S000000925	YCK3	YER123W
S000000926	DSE1	YER124C
S000000927	RSP5	YER125W
S000000928	NSA2	YER126C
S000000929	LCP5	YER127W
S000000930	VFA1	YER128W
S000000931	SAK1	YER129W
S000000932	COM2	YER130C
S000000933	RPS26B	YER131W
S000000934	PMD1	YER132C
S000000935	GLC7	YER133W
S000000936		YER134C
S000000937		YER135C
S000000938	GDI1	YER136W
S000000939		YER137C
S000000940		YER138C
S000000941	RTR1	YER139C
S000000942	EMP65	YER140W
S000000943	COX15	YER141W
S000000944	MAG1	YER142C
S000000945	DDI1	YER143W
S000000946	UBP5	YER144C
S000000947	FTR1	YER145C
S000000948	LSM5	YER146W
S000000949	SCC4	YER147C
S000000950	SPT15	YER148W
S000000951	PEA2	YER149C
S000000952	SPI1	YER150W
S000000953	UBP3	YER151C
S000000954		YER152C
S000000955	PET122	YER153C
S000000956	OXA1	YER154W
S000000957	BEM2	YER155C
S000000958		YER156C
S000000959	COG3	YER157W
S000000960		YER158C
S000000961	BUR6	YER159C
S000000962		YER160C
S000000963	SPT2	YER161C
S000000964	RAD4	YER162C
S000000965	GCG1	YER163C
S000000966	CHD1	YER164W
S000000967	PAB1	YER165W
S000000968	DNF1	YER166W
S000000969	BCK2	YER167W
S000000970	CCA1	YER168C
S000000971	RPH1	YER169W
S000000972	ADK2	YER170W
S000000973	RAD3	YER171W
S000000974	BRR2	YER172C
S000000975	RAD24	YER173W
S000000976	GRX4	YER174C
S000000977	TMT1	YER175C
S000000978	ECM32	YER176W
S000000979	BMH1	YER177W
S000000980	PDA1	YER178W
S000000981	DMC1	YER179W
S000000982	ISC10	YER180C
S000000983		YER181C
S000000984	FMP10	YER182W
S000000985	FAU1	YER183C
S000000986		YER184C
S000000987	PUG1	YER185W
S000000988		YER186C
S000000989		YER187W
S000000990		YER188W
S000000991		YER189W
S000000992	YRF1-2	YER190W
S000000993	RPL14B	YHL001W
S000000994	HSE1	YHL002W
